CustomerID,Recency,Frequency,Monetary,TotalQuantity,FirstPurchase,LastPurchase,Country,AverageOrderValue,LifetimeDays,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeansCluster,ClusterProfile
10001,19,11,3254.55,120,2024-01-20 12:13:16,2025-12-13 12:45:26,United Kingdom,295.8681818181818,693,3,1,4,314,Need Attention,0,3215.761426824297
10002,51,11,3807.47,125,2024-01-03 08:46:20,2025-11-11 09:27:09,United Kingdom,346.13363636363636,678,1,1,4,114,Hibernating,0,3215.761426824297
10003,9,11,3144.88,111,2024-01-14 14:44:41,2025-12-23 14:41:11,United Kingdom,285.89818181818185,708,4,1,3,413,New / Promising,0,3215.761426824297
10004,76,11,2546.05,119,2024-02-26 11:12:56,2025-10-17 14:31:08,United Kingdom,231.45909090909092,599,1,1,2,112,Hibernating,0,3215.761426824297
10005,10,11,3987.36,115,2024-01-11 21:37:14,2025-12-22 18:36:12,United Kingdom,362.48727272727274,710,4,1,5,415,New / Promising,0,3215.761426824297
10006,49,11,3309.27,126,2024-01-16 07:54:27,2025-11-13 05:32:28,United Kingdom,300.84272727272725,666,1,1,4,114,Hibernating,0,3215.761426824297
10007,1,11,3410.58,127,2024-01-12 12:51:10,2025-12-31 06:30:12,United Kingdom,310.0527272727273,718,5,1,4,514,New / Promising,0,3215.761426824297
10008,4,11,3355.96,127,2024-01-14 03:12:35,2025-12-28 12:48:33,United Kingdom,305.0872727272727,714,5,1,4,514,New / Promising,0,3215.761426824297
10009,3,11,3524.81,127,2024-01-03 00:51:07,2025-12-29 00:57:43,United Kingdom,320.4372727272727,726,5,1,4,514,New / Promising,0,3215.761426824297
10010,8,11,2827.1,110,2024-01-02 12:42:47,2025-12-24 03:15:09,United Kingdom,257.0090909090909,721,4,1,3,413,New / Promising,0,3215.761426824297
10011,20,11,5068.97,133,2024-01-12 00:05:20,2025-12-12 01:12:34,United Kingdom,460.81545454545454,700,3,1,5,315,Need Attention,0,3215.761426824297
10012,19,11,2844.38,104,2024-01-09 21:58:43,2025-12-13 07:44:44,United Kingdom,258.58,703,3,1,3,313,Need Attention,0,3215.761426824297
10013,5,11,3217.51,121,2024-02-08 06:13:04,2025-12-27 04:42:29,United Kingdom,292.5009090909091,687,5,1,3,513,New / Promising,0,3215.761426824297
10014,60,11,2849.52,109,2024-01-13 03:30:20,2025-11-02 06:14:09,United Kingdom,259.04727272727274,659,1,1,3,113,Hibernating,0,3215.761426824297
10015,28,11,2436.17,111,2024-01-15 11:30:11,2025-12-04 16:14:11,United Kingdom,221.47,689,2,1,1,211,Hibernating,0,3215.761426824297
10016,27,11,4210.51,135,2024-02-21 14:11:13,2025-12-05 21:33:14,United Kingdom,382.7736363636364,653,2,1,5,215,Hibernating,0,3215.761426824297
10017,40,11,2866.92,127,2024-01-23 10:28:12,2025-11-22 02:44:17,United Kingdom,260.6290909090909,668,1,1,3,113,Hibernating,0,3215.761426824297
10018,47,11,2775.2,120,2024-05-07 11:41:55,2025-11-15 03:38:56,United Kingdom,252.29090909090908,556,1,1,2,112,Hibernating,0,3215.761426824297
10019,21,11,3658.7799999999997,131,2024-02-10 17:45:41,2025-12-11 11:43:45,United Kingdom,332.6163636363636,669,3,1,4,314,Need Attention,0,3215.761426824297
10020,10,11,2499.7400000000002,111,2024-02-18 21:20:53,2025-12-22 13:45:58,United Kingdom,227.24909090909094,672,4,1,2,412,New / Promising,0,3215.761426824297
10021,18,11,3362.44,102,2024-01-07 04:09:06,2025-12-14 02:10:04,United Kingdom,305.67636363636365,706,3,1,4,314,Need Attention,0,3215.761426824297
10022,8,11,2643.72,106,2024-01-31 15:33:40,2025-12-24 18:56:20,United Kingdom,240.3381818181818,693,4,1,2,412,New / Promising,0,3215.761426824297
10023,17,11,3503.19,118,2024-01-07 09:19:30,2025-12-15 16:52:15,United Kingdom,318.4718181818182,708,3,1,4,314,Need Attention,0,3215.761426824297
10024,6,11,3849.88,118,2024-04-06 23:10:31,2025-12-26 20:54:59,United Kingdom,349.9890909090909,628,5,1,4,514,New / Promising,0,3215.761426824297
10025,38,11,3050.11,123,2024-01-01 01:59:41,2025-11-24 15:52:41,United Kingdom,277.2827272727273,693,2,1,3,213,Hibernating,0,3215.761426824297
10026,11,11,3636.16,122,2024-01-26 07:06:02,2025-12-21 17:15:46,United Kingdom,330.56,695,4,1,4,414,New / Promising,0,3215.761426824297
10027,15,11,2555.09,114,2024-01-03 17:15:57,2025-12-17 16:43:37,United Kingdom,232.2809090909091,713,3,1,2,312,Need Attention,0,3215.761426824297
10028,2,11,2697.51,116,2024-01-03 06:29:27,2025-12-30 13:30:12,United Kingdom,245.22818181818184,727,5,1,2,512,New / Promising,0,3215.761426824297
10029,12,11,2561.2000000000003,110,2024-01-22 07:30:05,2025-12-20 12:20:04,United Kingdom,232.83636363636367,698,4,1,2,412,New / Promising,0,3215.761426824297
10030,2,11,2401.73,115,2024-01-21 12:45:56,2025-12-30 22:09:49,United Kingdom,218.3390909090909,709,5,1,1,511,New / Promising,0,3215.761426824297
10031,25,10,3463.87,123,2024-01-25 16:21:29,2025-12-07 16:04:04,United Kingdom,346.387,681,2,1,4,214,Hibernating,1,3109.399468085106
10032,6,11,3955.35,132,2024-02-25 13:35:09,2025-12-26 20:37:33,United Kingdom,359.5772727272727,670,5,1,5,515,New / Promising,0,3215.761426824297
10033,23,11,2854.41,117,2024-01-05 19:38:28,2025-12-09 02:10:53,United Kingdom,259.4918181818182,703,3,1,3,313,Need Attention,0,3215.761426824297
10034,48,11,3866.7,134,2024-01-18 02:46:21,2025-11-14 05:59:18,United Kingdom,351.5181818181818,666,1,1,5,115,Hibernating,0,3215.761426824297
10035,10,11,3206.94,116,2024-01-12 00:49:22,2025-12-22 02:35:27,United Kingdom,291.54,710,4,1,3,413,New / Promising,0,3215.761426824297
10036,40,11,2808.25,107,2024-01-08 02:51:04,2025-11-22 13:59:08,United Kingdom,255.29545454545453,684,1,1,2,112,Hibernating,0,3215.761426824297
10037,77,11,2753.34,113,2024-02-10 21:03:31,2025-10-16 23:30:59,United Kingdom,250.30363636363637,614,1,1,2,112,Hibernating,0,3215.761426824297
10038,4,11,2101.07,104,2024-01-25 20:03:17,2025-12-28 01:18:44,United Kingdom,191.00636363636366,702,5,1,1,511,New / Promising,0,3215.761426824297
10039,42,11,3257.2799999999997,147,2024-01-17 14:42:49,2025-11-20 11:38:25,United Kingdom,296.1163636363636,672,1,1,4,114,Hibernating,0,3215.761426824297
10040,22,11,3352.66,122,2024-01-17 22:31:25,2025-12-10 08:18:14,United Kingdom,304.7872727272727,692,3,1,4,314,Need Attention,0,3215.761426824297
10041,27,11,2720.98,97,2024-01-01 03:17:54,2025-12-05 19:14:12,United Kingdom,247.3618181818182,704,2,1,2,212,Hibernating,0,3215.761426824297
10042,16,11,2795.76,115,2024-03-15 20:52:56,2025-12-16 14:50:40,United Kingdom,254.16000000000003,640,3,1,2,312,Need Attention,0,3215.761426824297
10043,9,10,2668.09,103,2024-01-28 03:01:46,2025-12-23 09:08:14,United Kingdom,266.809,695,4,1,2,412,New / Promising,1,3109.399468085106
10044,10,11,3060.3999999999996,121,2024-01-02 12:07:55,2025-12-22 10:44:25,United Kingdom,278.2181818181818,719,4,1,3,413,New / Promising,0,3215.761426824297
10045,4,11,3624.1099999999997,129,2024-01-15 12:02:12,2025-12-28 01:37:23,United Kingdom,329.46454545454543,712,5,1,4,514,New / Promising,0,3215.761426824297
10046,1,11,3590.1400000000003,117,2024-01-29 17:52:38,2025-12-31 15:51:13,United Kingdom,326.3763636363637,701,5,1,4,514,New / Promising,0,3215.761426824297
10047,23,11,1990.08,101,2024-01-01 18:32:23,2025-12-09 09:37:44,United Kingdom,180.91636363636363,707,3,1,1,311,Need Attention,0,3215.761426824297
10048,19,11,2626.78,123,2024-01-15 06:21:41,2025-12-13 15:36:59,United Kingdom,238.79818181818183,698,3,1,2,312,Need Attention,0,3215.761426824297
10049,4,11,3736.57,133,2024-03-31 02:18:39,2025-12-28 02:21:13,United Kingdom,339.6881818181818,637,5,1,4,514,New / Promising,0,3215.761426824297
10050,61,11,3241.82,124,2024-01-27 21:13:45,2025-11-01 19:37:56,United Kingdom,294.7109090909091,643,1,1,4,114,Hibernating,0,3215.761426824297
10051,27,11,2256.36,104,2024-02-04 09:21:37,2025-12-05 01:38:12,United Kingdom,205.12363636363636,669,2,1,1,211,Hibernating,0,3215.761426824297
10052,1,11,2444.99,108,2024-01-15 04:47:51,2025-12-31 18:29:22,United Kingdom,222.27181818181816,716,5,1,1,511,New / Promising,0,3215.761426824297
10053,39,11,2331.98,96,2024-02-07 11:16:05,2025-11-23 23:17:32,United Kingdom,211.99818181818182,655,1,1,1,111,Hibernating,0,3215.761426824297
10054,78,11,4255.76,135,2024-02-15 15:53:39,2025-10-15 07:24:42,United Kingdom,386.8872727272728,607,1,1,5,115,Hibernating,0,3215.761426824297
10055,23,11,2888.2,110,2024-01-04 23:43:02,2025-12-09 11:38:23,United Kingdom,262.56363636363636,704,3,1,3,313,Need Attention,0,3215.761426824297
10056,19,11,2601.0299999999997,104,2024-01-19 07:10:21,2025-12-13 06:45:05,United Kingdom,236.4572727272727,693,3,1,2,312,Need Attention,0,3215.761426824297
10057,69,11,3367.37,120,2024-01-10 07:47:39,2025-10-24 01:27:54,United Kingdom,306.12454545454545,652,1,1,4,114,Hibernating,0,3215.761426824297
10058,32,11,4049.01,126,2024-01-07 04:45:46,2025-11-30 12:21:38,United Kingdom,368.0918181818182,693,2,1,5,215,Hibernating,0,3215.761426824297
10059,44,11,5581.5599999999995,142,2024-01-08 06:59:04,2025-11-18 12:54:39,United Kingdom,507.4145454545454,680,1,1,5,115,Hibernating,0,3215.761426824297
10060,83,11,2720.46,114,2024-01-04 06:46:29,2025-10-10 09:47:24,United Kingdom,247.31454545454545,645,1,1,2,112,Hibernating,0,3215.761426824297
10061,16,11,3593.3599999999997,112,2024-02-28 10:30:33,2025-12-16 12:46:58,United Kingdom,326.66909090909087,657,3,1,4,314,Need Attention,0,3215.761426824297
10062,5,11,3766.3199999999997,133,2024-02-09 16:53:08,2025-12-27 20:09:56,United Kingdom,342.39272727272726,687,5,1,4,514,New / Promising,0,3215.761426824297
10063,47,11,3959.52,131,2024-01-29 05:02:47,2025-11-15 17:45:11,United Kingdom,359.9563636363636,656,1,1,5,115,Hibernating,0,3215.761426824297
10064,89,11,2906.66,110,2024-01-06 02:47:14,2025-10-04 02:38:44,United Kingdom,264.2418181818182,636,1,1,3,113,Hibernating,0,3215.761426824297
10065,31,11,2314.14,97,2024-02-05 11:41:48,2025-12-01 17:20:38,United Kingdom,210.37636363636364,665,2,1,1,211,Hibernating,0,3215.761426824297
10066,7,11,3335.36,143,2024-02-26 18:23:22,2025-12-25 14:09:33,United Kingdom,303.2145454545455,667,4,1,4,414,New / Promising,0,3215.761426824297
10067,10,11,2313.76,103,2024-01-08 01:45:34,2025-12-22 16:04:06,United Kingdom,210.3418181818182,714,4,1,1,411,New / Promising,0,3215.761426824297
10068,37,11,3455.98,122,2024-01-04 02:34:04,2025-11-25 04:28:51,United Kingdom,314.18,691,2,1,4,214,Hibernating,0,3215.761426824297
